['08:57:05', 3490, 3495, 238140, 238140, 238140, 55710, 240283, 720889, 720889, 720889, 482749, 482749, 482749, 184573]
['08:57:13', 3490, 3495, 240382, 240382, 240382, 57952, 240283, 720891, 720891, 720891, 480509, 480509, 480509, 182331]
['08:57:23', 3490, 3495, 239852, 239852, 239852, 57422, 240283, 720891, 720891, 720891, 481039, 481039, 481039, 182861]
['08:57:33', 3490, 3495, 272380, 272380, 272380, 89950, 240283, 720891, 720891, 720891, 448511, 448511, 448511, 150333]
['08:57:43', 3490, 3495, 274708, 274708, 274708, 92421, 240283, 720911, 720911, 720911, 446203, 446203, 446203, 147862]
['08:57:53', 3490, 3495, 281748, 281748, 281748, 99479, 240283, 720911, 720911, 720911, 439163, 439163, 439163, 140804]
['08:58:02', 3490, 3495, 299698, 299698, 299698, 107429, 240285, 720911, 720911, 720911, 421213, 421213, 421213, 132856]
['08:58:12', 3490, 3495, 308218, 308218, 308218, 113949, 240291, 720917, 720917, 720917, 412699, 412699, 412699, 126342]
['08:58:22', 3490, 3495, 308787, 308787, 308787, 114118, 240291, 720923, 720923, 720923, 412136, 412136, 412136, 126173]
['08:58:32', 3490, 3495, 352660, 352660, 352660, 157941, 240291, 721129, 721129, 721129, 368469, 368469, 368469, 82350]
['08:58:42', 3490, 3495, 388072, 388072, 388072, 173333, 240291, 721129, 721129, 721129, 333057, 333057, 333057, 66958]
['08:58:52', 3490, 3495, 461969, 461969, 461969, 234480, 240291, 724015, 724015, 724015, 262046, 262046, 262046, 5811]
['08:59:03', 3490, 3495, 471635, 471635, 471635, 244146, 240291, 746634, 746634, 746634, 274999, 274999, 274999, -3855]
['08:59:13', 3490, 3495, 500958, 500958, 500958, 270091, 173014, 676471, 676471, 676471, 175513, 175513, 175513, -97077]
['08:59:23', 3490, 3495, 470958, 470958, 470958, 270091, 64605, 568062, 568062, 568062, 97104, 97104, 97104, -205486]
['08:59:33', 3490, 3495, 462969, 462969, 462969, 262102, 7706, 511163, 511163, 511163, 48194, 48194, 48194, -254396]
['08:59:43', 3480, 3485, 556097, 556097, 556097, 81725, 180968, 668049, 668049, 668049, 111952, 111952, 111952, 99243]
